PITLAKE NUMBER,LATITUDE,LONGITUDE,MINING AREA ,STATE,DISTRICT,LAKE AREA (ha.),ELEVATION (m.),
1,23.69518,87.283187,JHANJRA,WB,PB,15,78,
2,23.71337,87.26175,PANDABESWAR,WB,PB,10.5,92,
3,23.71737,87.241065,PANDABESWAR,WB,PB,18,95,
4,23.67065,87.194739,KENDA,WB,PB,5.2,108,
5,23.62843,87.157255,KUNUSTORIA,WB,PB,6.5,84,
6,23.63339,87.161137,KUNUSTORIA,WB,PB,6.5,87,
7,23.6,87.162428,KAJORA,WB,PB,7,81,
8,23.67227,87.176649,KENDA,WB,PB,8.8,104,
9,23.68772,87.0528,SRIPUR,WB,PB,5,109,
10,23.60974,87.065772,SATGRAM,WB,PB,6,83,
11,23.60925,87.065145,SATGRAM,WB,PB,2,83,
12,23.60426,87.070547,SATGRAM,WB,PB,6.8,84,
13,23.77315,86.883459,SALANPUR,WB,PB,15,140,
14,23.78519,86.924778,SALANPUR,WB,PB,16.8,147,
15,23.78905,86.9576278,SALANPUR,WB,PB,4.5,140,
16,23.81479,86.997859,SRIPUR,WB,PB,8,130,
17,23.75995,86.866493,SODEPUR,WB,PB,2.8,130,
18,23.79715,86.696175,MUGMA,JH,DB,4.2,138,
19,23.78013,86.703036,MUGMA,JH,DB,14,139,
20,23.75537,86.774697,MUGMA,JH,DB,3.5,134,
 Basic Information regarding studied pitlakes. (WB- West Bengal; JH-Jharkhand; PB- Paschim Bardhaman; DB- Dhanbad),,,,,,,,
