Zone,Grid No.,Pitlake no. 1,,Grid No.,Pitlake No. 9,,Grid No.,Pitlake No. 16,,,,
CPS,,Longitude,Latitude,,Longitude,Latitude,,Longitude,Latitude,,,
,29,87.27726,23.70038,32,87.04801,23.68693,40,86.95902,23.79049,,,
,37,87.27815,23.70127,39,87.0489,23.68871,41,86.95902,23.7896,,,
,38,87.27815,23.70038,40,87.0489,23.68782,49,86.95991,23.79049,,,
,47,87.27904,23.70038,41,87.0489,23.68693,50,86.95991,23.7896,,,
,39,87.27815,23.69949,42,87.0489,23.68604,58,86.9608,23.79049,,,
,48,87.27904,23.69949,47,87.04979,23.6896,59,86.9608,23.7896,,,
,57,87.27993,23.69949,48,87.04979,23.68871,66,86.96169,23.79138,,,
,66,87.28082,23.69949,49,87.04979,23.68782,67,86.96169,23.79049,,,
,75,87.28171,23.69949,50,87.04979,23.68693,68,86.96169,23.7896,,,
,84,87.2826,23.69949,56,87.05068,23.6896,75,86.96258,23.79138,,,
,93,87.28349,23.69949,58,87.05068,23.68782,76,86.96258,23.79049,,,
,102,87.28438,23.69949,59,87.05068,23.68693,77,86.96258,23.7896,,,
,49,87.27904,23.6986,,,,85,86.96347,23.79049,,,
,58,87.27993,23.6986,,,,86,86.96347,23.7896,,,
,59,87.27993,23.69771,,,,94,86.96436,23.79049,,,
,67,87.28082,23.6986,,,,95,86.96436,23.7896,,,
,68,87.28082,23.69771,,,,103,86.96525,23.79049,,,
,76,87.28171,23.6986,,,,104,86.96525,23.7896,,,
,77,87.28171,23.69771,,,,112,86.96614,23.79049,,,
,78,87.28171,23.69682,,,,113,86.96614,23.7896,,,
,85,87.2826,23.6986,,,,,,,,,
,86,87.2826,23.69771,,,,,,,,,
,87,87.2826,23.69682,,,,,,,,,
,94,87.28349,23.6986,,,,,,,,,
,95,87.28349,23.69771,,,,,,,,,
,96,87.28349,23.69682,,,,,,,,,
,105,87.28438,23.69682,,,,,,,,,
,,,,,,,,,,,,
HDZ,30,87.27726,23.69949,51,87.04979,23.68604,32,86.95813,23.7896,,,
,40,87.27815,23.6986,57,87.05068,23.68871,51,86.95991,23.78871,,,
,41,87.27815,23.69771,60,87.05068,23.68604,60,86.9608,23.78871,,,
,50,87.27904,23.69771,66,87.05157,23.68871,69,86.96169,23.78871,,,
,51,87.27904,23.69682,67,87.05157,23.68782,78,86.96258,23.78871,,,
,60,87.27993,23.69682,68,87.05157,23.68693,87,86.96347,23.78871,,,
,69,87.28082,23.69682,,,,96,86.96436,23.78871,,,
,79,87.28171,23.69593,,,,105,86.96525,23.78871,,,
,88,87.2826,23.69593,,,,114,86.96614,23.78871,,,
,,,,,,,121,86.96703,23.79049,,,
,,,,,,,122,86.96703,23.7896,,,
,,,,,,,,,,,,
EOZ,28,87.27726,23.70127,65,87.05157,23.6896,31,86.95813,23.79049,,,
,46,87.27904,23.70127,69,87.05157,23.68604,39,86.95902,23.79138,,,
,56,87.27993,23.70038,75,87.05246,23.68871,42,86.95902,23.78871,,,
,97,87.28349,23.69593,76,87.05246,23.68782,48,86.95991,23.79138,,,
,103,87.28438,23.6986,77,87.05246,23.68693,57,86.9608,23.79138,,,
,104,87.28438,23.69771,,,,84,86.96347,23.79138,,,
,106,87.28438,23.69593,,,,93,86.96436,23.79138,,,
,,,,,,,102,86.96525,23.79138,,,
,,,,,,,111,86.96614,23.79138,,,
,,,,,,,123,86.96703,23.78871,,,
,,,,,,,,,,,,
GIS information regarding each zones from selected pitlakes. (CPS: Conservation Priority Sites; HDZ: Habitat Development Zone; EOZ: Eco Overlap Zone),,,,,,,,,,,,
