ENVIRONMENTAL LAYERS,DESCRIPTION,AI,NC,NR,,,,,,
alt,Altitude,11,31.4,17.1,,,,,,
bio_1,Annual Mean Temperature,1.9,11.3,11.1,,,,,,
bio_2,Mean Diurnal Range,11.5,2.5,7,,,,,,
bio_3,Isothermality,20.8,19.1,9.3,,,,,,
bio_4,Temperature Seasonality,19.8,NA,29.5,,,,,,
bio_8,Mean Temperature of Wettest Quarter,NA,0.4,NA,,,,,,
bio_9,Mean Temperature of Driest Quarter,NA,2.6,4.6,,,,,,
bio_12,Annual Precipitation,26.3,22.5,4.5,,,,,,
bio_14,Precipitation of Driest Month,5.9,1.4,11.1,,,,,,
bio_15,Precipitation Seasonality,NA,2.5,5.2,,,,,,
bio_18,Precipitation of Warmest Quarter,NA,6.5,NA,,,,,,
bio_19,Precipitation of Coldest Quarter,2,NA,NA,,,,,,
Environmental layer contribution towards building models. (AI: Anser indicus’s SDM; NC: Nettapus coromandelianus’s SDM; NR: Netta rufina’s SDM; NA: Not Applicable),,,,,,,,,,
